iter	Passed	Remaining
214	35350	129068
215	35512	128896
216	35626	128549
217	35770	128312
218	35918	128092
219	36082	127929
220	36233	127717
221	36355	127408
222	36468	127066
223	36591	126764
224	36716	126469
225	36836	126158
226	36963	125870
227	37121	125691
228	37348	125744
229	37515	125596
230	37652	125344
231	37802	125140
232	37946	124915
233	38104	124735
234	38281	124616
235	38440	124444
236	38616	124321
237	38787	124185
238	38965	124071
239	39124	123893
240	39280	123710
241	39474	123644
242	39625	123442
243	39810	123348
244	39940	123082
245	40093	122888
246	40216	122604
247	40396	122492
248	40571	122367
249	40714	122143
250	40913	122088
251	41078	121931
252	41270	121855
253	41415	121636
254	41555	121408
255	41708	121215
256	41853	121000
257	42016	120838
258	42164	120632
259	42337	120498
260	42480	120280
261	42630	120080
262	42783	119892
263	42966	119786
264	43136	119641
265	43285	119441
266	43417	119195
267	43553	118960
268	43691	118731
269	43833	118512
270	44002	118367
271	44157	118185
272	44308	117994
273	44478	117850
274	44617	117628
275	44785	117481
276	44953	117333
277	45139	117231
278	45297	117058
279	45463	116905
280	45614	116715
281	45770	116535
282	45961	116446
283	46104	116234
284	46270	116081
285	46419	115886
286	46568	115692
287	46730	115529
288	46853	115270
289	47016	115108
290	47211	115027
291	47356	114823
292	47498	114612
293	47660	114450
294	47801	114238
295	47949	114041
296	48071	113784
297	48228	113612
298	48424	113530
299	48595	113388
300	48750	113211
301	48899	113020
302	49071	112881
303	49242	112739
304	49410	112590
305	49543	112362
306	49690	112168
307	49843	111986
308	49999	111811
309	50162	111652
310	50301	111439
311	50441	111230
312	50578	111014
313	50767	110911
314	50933	110760
315	51072	110550
316	51222	110362
317	51362	110155
318	51508	109959
319	51653	109763
320	51818	109609
321	51976	109440
322	52132	109268
323	52257	109031
324	52396	108822
325	52591	108732
326	52774	108614
327	52923	108429
328	53081	108259
329	53210	108033
330	53360	107849
331	53503	107652
332	53615	107391
333	53755	107188
334	53950	107095
335	54128	106967
336	54339	106905
337	54512	106766
338	54674	106606
339	54823	106421
340	55010	106309
341	55186	106176
342	55360	106040
343	55539	105912
344	55649	105653
345	55832	105532
346	56002	105388
347	56180	105256
348	56336	105086
349	56489	104909
350	56669	104782
351	56841	104640
352	56997	104468
353	57172	104332
354	57334	104172
355	57497	104012
356	57678	103885
357	57851	103745
358	58010	103578
359	58130	103342
360	58287	103174
361	58427	102974
362	58589	102814
363	58736	102628
364	58954	102564
365	59142	102448
366	59289	102261
367	59473	102139
368	59659	102020
369	59849	101905
370	59994	101715
371	60169	101576
372	60347	101442
373	60504	101272
374	60751	101252
375	60917	101097
376	61117	100997
377	61318	100899
378	61514	100792
379	61702	100673
380	61896	100561
381	62115	100491
382	62308	100377
383	62441	100166
384	62582	99969
385	62726	99778
386	62908	99645
387	63110	99545
388	63298	99423
389	63452	99245
390	63642	99126
391	63917	99137
392	64246	99231
393	64418	99080
394	64607	98955
395	64807	98847
396	65075	98843
397	65307	98781
398	65484	98636
399	65662	98493
400	65866	98388
401	65998	98177
402	66182	98041
403	66385	97935
404	66526	97736
405	66713	97604
406	66910	97489
407	67154	97439
408	67368	97347
409	67553	97210
410	67746	97086
411	67946	96971
412	68115	96812
413	68286	96656
414	68487	96542
415	68649	96373
416	68796	96183
417	68974	96035
418	69202	95958
419	69337	95751
420	69492	95573
421	69658	95408
422	69842	95270
423	70001	95096
424	70184	94955
425	70353	94795
426	70484	94583
427	70650	94420
428	70806	94244
429	70923	94015
430	71185	93978
431	71337	93795
432	71480	93601
433	71670	93469
434	71851	93324
435	71994	93130
436	72178	92989
437	72327	92804
438	72501	92650
439	72624	92431
440	72802	92282
441	72948	92093
442	73060	91861
443	73221	91691
444	73370	91507
445	73513	91314
446	73724	91206
447	73878	91028
448	74025	90841
449	74141	90617
450	74284	90425
451	74429	90237
452	74589	90067
453	74737	89882
454	74863	89671
455	75017	89494
456	75151	89293
457	75305	89116
458	75489	88976
459	75635	88789
460	75768	88587
461	75902	88388
462	76076	88235
463	76218	88046
464	76386	87885
465	76539	87707
466	76719	87562
467	76882	87396
468	77023	87205
469	77158	87008
470	77313	86834
471	77474	86666
472	77616	86477
473	77777	86310
474	77943	86148
475	78060	85931
476	78192	85733
477	78330	85541
478	78478	85359
479	78625	85177
480	78736	84956
481	78883	84775
482	79037	84601
483	79182	84417
484	79313	84219
485	79474	84053
486	79634	83886
487	79800	83725
488	79949	83546
489	80112	83382
490	80270	83213
491	80461	83078
492	80641	82931
493	80771	82733
494	80917	82551
495	81081	82388
496	81227	82207
497	81378	82031
498	81539	81866
499	81682	81682
500	81858	81531
501	82011	81358
502	82195	81214
503	82355	81048
504	82517	80883
505	82665	80705
506	82803	80516
507	82944	80331
508	83091	80153
509	83264	79999
510	83438	79845
511	83603	79684
512	83784	79538
513	83965	79391
514	84121	79221
515	84275	79048
516	84444	78891
517	84604	78724
518	84767	78561
519	84898	78368
520	85073	78215
521	85198	78016
522	85347	77841
523	85538	77703
524	85731	77567
525	85899	77407
526	86051	77233
527	86198	77056
528	86399	76926
529	86562	76762
530	86712	76588
531	86864	76414
532	87004	76230
533	87164	76064
534	87327	75901
535	87519	75763
536	87697	75612
537	87833	75425
538	88003	75268
539	88161	75100
540	88341	74951
541	88542	74819
542	88712	74662
543	88883	74505
544	89052	74346
545	89214	74181
546	89391	74030
547	89580	73887
548	89730	73713
549	89861	73522
550	89983	73325
551	90098	73123
552	90262	72960
553	90405	72781
554	90580	72627
555	90749	72468
556	90928	72318
557	91107	72167
558	91272	72005
559	91432	71839
560	91601	71680
561	91728	71489
562	91889	71324
563	92022	71137
564	92173	70965
565	92358	70819
566	92493	70634
567	92663	70476
568	92837	70321
569	92994	70153
570	93182	70009
571	93410	69894
572	93595	69747
573	93732	69564
574	93916	69416
575	94090	69260
576	94225	69077
577	94402	68923
578	94581	68771
579	94743	68607
580	94911	68447
581	95132	68325
582	95331	68187
583	95499	68027
584	95647	67852
585	95895	67748
586	96102	67615
587	96277	67460
588	96430	67288
589	96613	67138
590	96750	66955
591	96922	66797
592	97109	66650
593	97272	66485
594	97425	66315
595	97595	66155
596	97740	65978
597	97865	65789
598	98045	65636
599	98174	65449
600	98305	65264
601	98463	65096
602	98642	64943
603	98803	64778
604	98957	64608
605	99128	64450
606	99357	64328
607	99523	64166
608	99667	63990
609	99779	63793
610	99967	63645
611	100108	63467
612	100276	63306
613	100459	63155
614	100614	62986
615	100766	62815
616	100940	62658
617	101116	62502
618	101293	62346
619	101455	62182
620	101626	62023
621	101783	61855
622	101913	61671
623	102121	61534
624	102282	61369
625	102426	61193
626	102582	61025
627	102698	60833
628	102824	60648
629	102986	60483
630	103138	60313
631	103283	60139
632	103420	59960
633	103577	59794
634	103710	59612
635	103856	59439
636	104013	59273
637	104167	59104
638	104312	58931
639	104470	58764
640	104642	58606
641	104792	58435
642	104929	58257
643	105049	58070
644	105189	57894
645	105362	57737
646	105514	57567
647	105655	57392
648	105805	57222
649	105926	57037
650	106064	56861
651	106240	56705
652	106373	56526
653	106527	56358
654	106674	56187
655	106840	56025
656	106964	55843
657	107100	55666
658	107262	55503
659	107423	55339
660	107563	55164
661	107720	54999
662	107858	54823
663	108002	54651
664	108135	54474
665	108340	54333
666	108539	54188
667	108723	54036
668	108911	53885
669	109130	53750
670	109291	53586
671	109463	53428
672	109622	53263
673	109788	53102
674	109933	52931
675	110094	52767
676	110244	52598
677	110417	52440
678	110527	52252
679	110665	52078
680	110805	51904
681	110952	51734
682	111151	51588
683	111305	51422
684	111435	51243
685	111571	51069
686	111712	50896
687	111821	50709
688	111967	50539
689	112119	50372
690	112267	50203
691	112409	50032
692	112581	49873
693	112729	49704
694	112900	49546
695	113062	49383
696	113197	49209
697	113372	49052
698	113557	48899
699	113726	48739
700	113874	48571
701	114016	48400
702	114185	48240
703	114333	48072
704	114453	47891
705	114590	47718
706	114685	47528
707	114839	47363
708	114984	47194
709	115144	47030
710	115323	46875
711	115480	46711
712	115634	46545
713	115798	46384
714	115994	46235
715	116140	46066
716	116347	45922
717	116521	45764
718	116722	45617
719	116976	45490
720	117187	45347
721	117382	45197
722	117541	45033
723	117715	44874
724	117859	44705
725	118023	44543
726	118177	44377
727	118328	44210
728	118440	44029
729	118583	43859
730	118851	43736
731	119015	43573
732	119145	43399
733	119305	43236
734	119500	43085
735	119664	42923
736	119849	42768
737	119996	42600
738	120205	42454
739	120360	42288
740	120530	42128
741	120685	41963
742	120840	41798
743	121045	41650
744	121214	41489
745	121348	41317
746	121535	41162
747	121699	41000
748	121808	40819
749	121971	40657
750	122126	40492
751	122272	40323
752	122450	40166
753	122618	40005
754	122762	39836
755	122907	39668
756	123086	39511
757	123228	39342
758	123363	39170
759	123523	39007
760	123681	38843
761	123869	38688
762	124015	38521
763	124194	38363
764	124358	38201
765	124549	38047
766	124731	37891
767	124884	37725
768	125052	37564
769	125218	37402
770	125375	37238
771	125582	37088
772	125774	36935
773	125937	36772
774	126081	36604
775	126220	36434
776	126368	36268
777	126550	36110
778	126675	35937
779	126831	35772
780	126962	35601
781	127107	35434
782	127248	35265
783	127441	35111
784	127607	34949
785	127780	34790
786	127958	34631
787	128128	34470
788	128302	34311
789	128432	34140
790	128552	33966
791	128738	33810
792	128927	33654
793	129099	33494
794	129285	33337
795	129519	33193
796	129774	33054
797	129948	32894
798	130049	32715
799	130234	32558
800	130421	32401
801	130690	32265
802	130911	32116
803	131047	31946
804	131224	31787
805	131343	31613
806	131480	31444
807	131709	31297
808	131852	31129
809	132066	30978
810	132196	30807
811	132380	30649
812	132570	30492
813	132788	30342
814	132903	30168
815	133114	30016
816	133275	29852
817	133384	29677
818	133536	29511
819	133690	29346
820	133917	29197
821	134083	29035
822	134240	28870
823	134370	28700
824	134516	28533
825	134652	28365
826	134838	28206
827	134975	28038
828	135149	27877
829	135333	27718
830	135504	27557
831	135660	27392
832	135838	27232
833	136014	27072
834	136183	26910
835	136317	26741
836	136483	26579
837	136627	26412
838	136779	26247
839	136959	26087
840	137123	25924
841	137260	25756
842	137406	25590
843	137574	25428
844	137732	25264
845	137905	25103
846	138019	24931
847	138182	24768
848	138295	24596
849	138439	24430
850	138604	24268
851	138761	24104
852	138897	23936
853	139050	23772
854	139221	23610
855	139396	23449
856	139545	23284
857	139677	23116
858	139871	22959
859	140024	22794
860	140203	22634
861	140346	22468
862	140557	22313
863	140754	22155
864	140909	21991
865	141067	21828
866	141202	21660
867	141316	21490
868	141447	21322
869	141602	21158
870	141796	21000
871	141963	20838
872	142116	20674
873	142308	20515
874	142571	20367
875	142719	20202
876	142850	20034
877	142998	19869
878	143162	19707
879	143352	19548
880	143532	19387
881	143667	19220
882	143796	19053
883	143930	18886
884	144144	18730
885	144349	18573
886	144508	18409
887	144676	18247
888	144883	18090
889	145008	17922
890	145169	17759
891	145337	17596
892	145495	17433
893	145631	17267
894	145782	17102
895	145954	16941
896	146062	16771
897	146248	16611
898	146411	16448
899	146546	16282
900	146679	16116
901	146852	15955
902	147027	15793
903	147190	15630
904	147338	15466
905	147481	15301
906	147669	15141
907	147857	14981
908	148037	14820
909	148188	14655
910	148357	14493
911	148527	14331
912	148662	14166
913	148790	14000
914	148908	13833
915	149031	13666
916	149162	13501
917	149329	13338
918	149449	13172
919	149581	13007
920	149730	12843
921	149904	12681
922	150032	12516
923	150207	12354
924	150348	12190
925	150478	12025
926	150628	11861
927	150763	11697
928	150945	11536
929	151074	11371
930	151192	11205
931	151336	11041
932	151512	10880
933	151679	10718
934	151807	10553
935	151939	10389
936	152134	10228
937	152279	10065
938	152397	9900
939	152571	9738
940	152724	9575
941	152868	9412
942	153015	9249
943	153183	9087
944	153326	8923
945	153482	8761
946	153677	8600
947	153825	8437
948	153994	8275
949	154128	8112
950	154286	7949
951	154430	7786
952	154622	7625
953	154760	7462
954	154912	7299
955	155071	7137
956	155253	6975
957	155423	6813
958	155574	6651
959	155754	6489
960	155926	6327
961	156088	6165
962	156228	6002
963	156348	5838
964	156475	5675
965	156623	5512
966	156794	5350
967	156957	5188
968	157117	5026
969	157252	4863
970	157411	4701
971	157552	4538
972	157706	4376
973	157884	4214
974	158033	4052
975	158213	3890
976	158408	3729
977	158569	3566
978	158741	3405
979	158865	3242
980	159003	3079
981	159118	2916
982	159325	2755
983	159469	2593
984	159666	2431
985	159880	2270
986	160044	2107
987	160201	1945
988	160349	1783
989	160507	1621
990	160646	1458
991	160843	1297
992	160986	1134
993	161115	972
994	161267	810
995	161449	648
996	161609	486
997	161745	324
998	161905	162
999	162034	0
